1000,21700,19600,18900,18700,19800,18700,18600,18700,18600,18700,18700,18700,18800,18700,18600,18700,18700,18700,18700,18700
2000,43500,38600,37700,37400,37400,37400,37300,37400,38400,37400,37400,37300,37400,37400,37300,37500,37400,37400,37400,37500
3000,63700,58000,57000,56500,56500,56500,59000,56500,56500,56400,56900,56500,56600,56600,57000,58200,56500,57000,56600,56700
4000,79300,99400,100700,96200,95400,95600,97100,95200,95300,94900,95200,90700,76400,76400,76400,76300,76300,76600,78600,76600
5000,99800,92000,104900,127000,123000,99600,95800,96400,96400,95400,95400,95000,96200,95500,95200,95500,95200,97500,95000,95800
6000,129400,118200,117600,115900,115900,115600,116600,115400,115500,115500,116300,115900,115400,115300,115400,128600,120400,118200,118000,117400
7000,137100,131600,133700,146500,141200,136300,135500,136800,135100,134600,136600,136200,135400,134600,135900,134900,134400,134600,138100,134400
8000,162900,154500,168500,158300,153900,154400,152100,152100,155300,151800,152900,156000,162100,153900,155600,152900,152400,152700,154600,152500
9000,183800,173700,188500,177900,176500,173300,183900,178400,173100,173300,174500,174800,172800,174400,172600,173200,174200,172500,173600,172700
10000,249900,238200,199600,194400,194700,192200,193400,192600,193500,195800,193500,193100,191500,191300,193500,191500,193800,192300,193700,195600
11000,241500,221500,215200,211300,210000,211900,209800,211900,210500,213400,211900,323200,210300,299200,249300,256800,213300,211500,214000,221900
12000,265300,251400,233900,230300,231700,229200,232600,230700,233600,231900,229800,231900,231000,232200,230700,233200,231800,233500,231800,232800
13000,291500,347900,252600,252100,250000,252500,249700,254200,248900,251000,250100,251800,251700,253100,254500,252900,252900,253300,251700,255000
14000,296300,279200,266500,267600,265300,266100,265700,267000,270300,287600,277500,272300,272800,271000,273500,273400,273400,270600,271800,271000
15000,298200,347200,293800,334000,289700,288000,288100,286200,290300,285700,286200,289400,288800,291000,370200,299100,290300,288800,359500,362800
16000,319500,347000,397900,314400,308600,305600,309500,311200,307400,308500,307300,309200,307500,308600,308300,309100,311600,369500,367000,307500
17000,328500,345400,335600,329500,329400,330400,327700,468700,419200,374000,334400,334700,334200,331600,328500,397800,411500,381600,323800,324000
18000,422600,459000,406300,343400,345100,346900,346500,349500,346100,347500,345400,347100,346800,347300,428200,433400,379600,344100,342800,329100
19000,366900,382400,375300,370000,367200,483500,405200,367500,367800,366500,368400,366900,368500,369500,393100,459400,452800,435900,343600,344400
20000,404600,388500,405200,390100,386500,427400,392200,386600,386000,385800,385700,386600,384500,456600,485100,409900,385200,377300,362500,361700
21000,388900,417000,412500,404700,401000,402400,408300,454900,408300,406800,404400,408000,404100,457400,502700,428300,400200,400300,400000,399900
22000,444500,443800,420600,455200,421700,423600,423700,421400,425500,425400,427400,426100,535700,527300,452700,396400,395600,394900,394800,394200
23000,465300,453200,445800,442200,442400,440600,443000,440700,441000,447300,448100,518000,552500,440600,439500,421000,415200,415400,416200,415400
24000,533500,568600,462200,460900,467200,463500,461500,461200,461800,460600,483900,581400,485200,459500,444000,434100,433500,432100,432100,431700
