1000,45600,30700,42800,29800,29700,29500,29600,29900,29500,30400,29400,29500,29400,29300,29800,31600,30300,29500,29400,29400,31255.000000
5000,156300,139400,145200,139100,139600,139900,141600,138100,139300,164400,159200,156700,159400,149500,151300,152200,158800,151800,154600,155700,149605.000000
9000,266600,252000,249600,247700,245800,247400,245400,357500,380300,382400,366300,296500,262700,264400,266700,261300,307700,271200,324300,289500,289265.000000
13000,460900,422700,364200,363800,363800,364100,431700,368500,366600,365100,360500,363900,364700,363700,458600,427200,428300,354900,346500,343400,384155.000000
17000,569200,504400,607600,511400,491900,490400,497300,489100,492400,494300,496300,607400,484300,464500,447700,454900,447800,442000,438900,448100,493995.000000
21000,735100,669200,600800,607200,697700,605300,603800,600300,652200,726600,686100,567200,551600,531900,540900,532400,538500,539100,535900,533300,602755.000000
25000,756300,711500,702700,790900,697900,699800,699300,810500,869400,713500,688300,673800,683600,672100,669000,673100,673200,673500,680000,679600,710900.000000
29000,830400,828100,823400,833700,819900,817600,911800,943800,790500,733300,741000,751200,774800,720000,739100,730200,727000,767200,754400,762000,789970.000000
33000,896800,877500,903700,937300,1070600,949000,1107000,981200,919200,888600,909100,879300,832600,857200,869500,872300,887100,850600,916400,879000,914200.000000
37000,1034000,908800,1017600,1012400,1016600,1227700,977700,979500,932700,928600,940900,938000,928800,946700,927300,840500,937600,926500,943000,943600,965425.000000
41000,1119300,1143300,1154300,1318200,1268600,1297900,1122900,1111900,1097500,978700,1075900,1063100,1058800,1084000,1046200,1056100,1082200,1080300,1078100,1092500,1116490.000000
45000,1934500,1524300,1236400,1340500,1196000,1152000,1143400,1186200,1184300,1173100,1065200,1218900,1221000,1191800,1239500,1147000,1147000,1129200,1150500,1124500,1235265.000000
49000,1364000,1224600,1241900,1373100,1558100,1188800,1274200,1273600,1141300,1296700,1110800,1110100,1139800,1135800,1296100,1320500,1183300,1286900,1272700,1137600,1246495.000000
53000,1638600,1519100,1316700,1614100,1299900,1288500,1473000,1420300,1257500,1448900,1375200,1283100,1420600,1309800,1380300,1222500,1286600,1455500,1416800,1273700,1385035.000000
57000,1611600,1482500,1386000,1478600,1519900,1485600,1338400,1376700,1372100,1401100,1516300,1372900,1349100,1336000,1366700,1351100,1518200,1370100,1370900,1364800,1418430.000000
61000,1761400,1589300,1519800,1604000,1667000,1486700,1439600,1487800,1507500,1655400,1474300,1468700,1464100,1491200,1607200,1503000,1469500,1473700,1466400,1459400,1529800.000000
