1000,66300,54200,56600,51600,46600,46500,49600,49400,47500,46500,45600,45200,43800,45100,46500,46600,45700,46300,45000,44700,48465.000000
2000,95400,85700,79000,76800,74000,73800,72200,82500,78900,76300,73800,72700,71200,71200,72300,90900,74400,73200,71600,71900,76890.000000
3000,137600,130200,123300,120900,131000,123200,122900,120400,140300,121200,127400,123500,121200,133300,133000,122200,121000,118300,116900,116800,125230.000000
4000,188000,183700,180500,177900,174400,169100,178300,179600,169400,166900,164600,163100,163100,163000,162600,164200,164800,162800,162300,163500,170090.000000
5000,203000,198200,203300,189200,191300,272300,195200,190900,187300,192600,196900,195400,185600,193600,181300,181800,183200,178900,182100,178900,194050.000000
6000,244100,240800,228300,239500,237200,233000,227000,236700,230500,230000,227100,260900,223200,227800,224700,223800,226500,223900,223100,227100,231760.000000
7000,331500,314700,309300,303800,308700,306000,302900,299600,302300,308700,306500,301300,299000,299300,299100,299400,298700,299000,297800,298800,304320.000000
8000,346900,330900,330300,356500,335400,329700,325600,323000,318400,319700,320800,321700,322900,323200,325000,323600,321700,357900,319800,323900,328845.000000
9000,341300,334300,327900,323200,333200,346200,317500,318500,315000,313500,316700,313100,314200,318600,314800,313500,317100,313500,312800,327100,321600.000000
10000,350500,343100,335200,332700,328500,326500,332600,338200,330700,327500,328900,327000,325400,327200,329100,326700,328600,329600,328900,328500,331270.000000
11000,434700,424300,437500,450600,425400,414900,416600,412900,409400,409300,411600,411400,416500,415100,413300,411900,413200,412200,411900,412200,418245.000000
12000,468100,457900,448300,449900,449200,446300,444300,446500,445300,446200,448000,453100,450000,447100,444800,447700,447600,448400,444900,448200,449090.000000
13000,554200,540700,528600,530900,558400,532000,543900,559100,527400,527900,522200,541500,522400,524900,525300,528900,525100,525700,525800,525300,533510.000000
14000,603800,591600,594500,594600,587700,580700,580000,580200,583200,582400,580800,584200,581200,591400,587500,588200,585000,596700,581000,584000,586935.000000
15000,626100,614600,607700,604300,623600,633300,607900,609300,600000,609100,605100,602700,602900,613800,601800,605200,601000,601100,599600,603400,608625.000000
16000,644000,630700,623600,620500,618600,675900,624800,628300,624300,621600,619100,621200,618000,621100,618000,617700,616100,642600,616800,626800,626485.000000
17000,670700,779700,650000,694700,643600,642400,642000,639100,638100,638800,640500,643400,642100,650800,642800,642400,642600,644200,638300,642500,653435.000000
18000,606600,590600,581400,580300,576200,576500,577400,577700,579200,586200,585100,581600,578800,687100,582900,581000,593100,583200,609200,580500,589730.000000
19000,588800,581200,579300,572600,569600,565800,569200,568500,569300,567300,567500,565700,568100,568400,565200,565300,567500,605900,572100,571300,572430.000000
20000,595700,596200,589500,582200,580600,572700,574000,576000,608500,576200,586100,580100,584700,578100,584200,599700,603300,592700,574500,573400,585420.000000
21000,660800,646900,641000,639600,643900,635800,638600,641000,637700,637300,674600,639000,636500,642200,639200,638700,672700,644700,643100,640500,644690.000000
22000,764100,760700,752400,743600,747900,742400,741800,741800,740100,755700,744600,773300,793200,742800,741500,747400,744100,743700,740100,774000,751760.000000
23000,835700,889200,828800,843400,804500,802900,807600,820000,806400,803200,805000,804800,805400,808000,804600,805100,808300,806400,804700,811700,815285.000000
24000,855800,828000,833400,826100,819500,826100,820500,820400,820700,822900,822400,827200,822000,826100,821300,824700,859000,831400,817300,820900,827285.000000
25000,907000,889200,881000,879300,876000,871800,871300,884100,875300,878400,936600,881800,877300,876500,875000,876600,879200,878100,879700,880000,882710.000000
26000,1016500,987100,978000,977600,981500,1120100,967200,967900,969500,986200,974500,972500,980200,979800,976600,992600,978100,972400,973500,976300,986405.000000
27000,1146700,1062300,1048400,1044500,1039700,1041900,1056300,1041300,1035800,1037200,1037400,1038300,1150700,1093300,1133800,1041600,1038300,1040600,1040800,1046800,1060785.000000
28000,1257000,1093700,1056500,1047100,1054600,1055000,1052700,1053600,1050000,1052200,1061600,1058600,1052200,1056900,1053000,1052800,1052500,1056200,1051100,1055000,1066115.000000
29000,1081000,1067500,1065400,1075600,1062400,1071900,1057400,1057100,1058400,1057600,1059000,1058600,1059300,1061400,1057200,1059600,1072500,1061600,1057300,1073700,1063725.000000
30000,1140200,1130100,1250400,1208400,1122200,1132900,1116800,1123300,1122100,1117900,1121800,1122500,1117600,1122600,1125500,1125900,1125600,1121800,1135200,1122500,1135265.000000
31000,1284800,1342400,1178400,1130800,1128700,1137900,1122800,1115800,1113200,1111900,1111800,1154200,1140000,1157100,1186100,1154600,1149200,1173400,1152800,1150600,1159825.000000
32000,1199400,1177300,1175000,1169400,1170100,1167600,1369000,1169000,1163800,1166400,1166200,1166700,1178700,1183600,1165300,1165000,1166400,1165700,1166800,1289800,1187060.000000
33000,1257700,1187900,1175300,1169700,1174000,1197900,1176100,1181900,1279400,1216300,1179700,1180600,1174400,1177400,1175500,1182600,1179900,1196700,1176200,1184700,1191195.000000
34000,1203100,1307100,1275200,1177400,1178900,1191500,1177000,1176900,1176800,1178200,1175800,1191900,1178100,1179800,1179700,1286900,1176400,1177300,1193300,1176100,1197870.000000
35000,1181100,1166200,1146100,1145300,1148000,1221600,1144800,1144600,1140500,1141300,1141600,1140700,1150400,1141900,1153400,1143300,1144700,1142500,1256900,1298900,1164690.000000
36000,1092400,1069100,1061400,1072900,1062100,1074400,1256400,1062200,1058400,1060000,1060400,1057200,1058400,1059600,1059600,1058500,1059100,1072000,1059100,1076600,1074490.000000
37000,1012600,1007900,1000800,996400,993600,1001200,994600,995600,994700,992900,994500,994400,1008600,996600,995400,994300,997900,995900,995000,996700,997980.000000
38000,1046800,1041200,1030200,1047600,1022400,1032700,1025300,1027800,1028700,1025600,1098700,1025800,1022000,1030500,1027000,1023800,1025000,1189500,1044200,1054300,1043455.000000
39000,1054300,1037300,1023700,1032300,1143700,1114000,1025500,1026800,1022600,1026800,1027900,1024400,1021500,1026100,1023000,1037700,1024400,1024700,1032600,1025600,1038745.000000
40000,1224800,1046700,1036700,1041400,1034000,1030900,1031000,1030800,1029600,1030300,1034200,1032500,1029700,1032500,1029800,1060100,1033500,1029500,1065900,1037900,1046090.000000
41000,1033800,1013300,1002700,1013500,1008900,1008700,1007200,1008300,1002900,1004600,1005900,1005300,1011500,1009900,1010000,1005700,1015000,1022200,1005800,1007500,1010135.000000
42000,1370700,1215200,1137600,1136200,1136000,1138000,1139500,1151600,1142000,1140300,1318900,1156200,1141800,1260400,1224200,1140100,1135500,1138700,1142300,1143500,1175435.000000
43000,1287700,1492900,1292700,1272400,1274300,1257300,1271900,1261100,1257300,1261700,1262300,1270900,1263400,1264600,1259800,1259700,1262800,1271500,1260900,1264400,1278480.000000
44000,1358600,1341000,1330800,1331000,1331900,1331900,1329500,1436400,1333800,1330700,1346900,1328500,1327500,1331900,1328600,1326600,1330900,1329500,1328300,1425400,1342985.000000
45000,1548100,1383800,1372300,1373100,1370400,1383400,1369900,1372200,1366800,1369300,1370200,1366900,1381800,1371700,1369800,1369600,1385700,1375800,1364000,1367200,1381600.000000
46000,1467900,1450400,1443600,1439800,1437500,1436700,1432400,1436500,1885500,1435200,1422200,1410600,1467300,1450900,1433900,1434200,1431600,1435600,1452900,1440800,1462275.000000
47000,1465600,1567000,1441100,1438100,1436700,1435400,1433800,1444800,1501900,1441800,1441400,1756900,1431700,1436300,1436200,1437400,1448000,1440100,1453700,1439600,1466375.000000
48000,1480700,1467500,1457200,1464800,1461400,1453300,1451100,1710200,1466100,1449300,1453500,1465000,1452300,1456300,1454200,1453800,1454300,1472200,1456300,1455300,1471740.000000
49000,1435800,1421000,1411800,1543600,1430200,1416700,1412500,1413800,1411700,1412200,1413000,1412000,1409800,1413700,1522600,1465500,1415300,1413100,1411800,1415900,1430100.000000
50000,1581500,1535600,1542000,1539800,1537500,1534500,1537800,1532200,1745200,1614700,1551100,1533400,1531300,1535100,1534100,1538700,1532600,1538400,1646500,1561900,1560195.000000
51000,1759300,1728200,1728700,1731300,1714000,1715200,1710100,1718200,1719400,1712800,1719000,1723500,1724000,1713400,1713100,1713800,1715900,1718400,1710700,1726500,1720775.000000
52000,1870500,1848600,1844700,1852700,1966200,1940500,1839800,2173900,1942000,1848400,1830700,1837100,1966100,2016500,1845900,1867000,1847000,1843800,1841700,1841800,1893245.000000
53000,1950600,1934000,1906400,1916500,1895200,1903000,1890100,1899700,1897100,2505400,2046100,1893700,1886900,1901200,1900800,1894500,1920100,1910400,1894000,1899200,1942245.000000
54000,1990800,1966400,1959200,2068800,1957600,1956300,1955700,1977600,1955800,1950600,1952100,2055200,1973600,1969000,2126600,1974700,1967800,1961100,1959800,2095600,1988715.000000
55000,2042800,2238200,2015300,2006400,2032500,2006200,2023600,2012000,2024000,2127400,2013600,2026600,2012200,2022800,2008500,2010200,2118100,2055200,2013600,2027200,2041820.000000
56000,1989100,2005100,1957700,1949300,1945500,1948400,1971900,1954300,1990400,1958200,1950900,1954600,1950600,1961300,1955100,1953100,1998700,1954400,1956300,1955200,1963005.000000
57000,2101600,2032200,1978500,1958400,1999300,1983800,1965100,1969100,2072700,1962400,1963000,2000100,1957400,1975800,1958900,1963900,1968500,2042500,1960000,1995800,1990450.000000
58000,2023800,1992100,1987100,1986600,2115900,2006600,1986600,2049700,1984600,1989100,1983800,1993100,2121500,1988600,2216700,1968500,2006000,1980000,1989600,2021200,2019555.000000
59000,2125900,2143300,2106300,2089400,2088500,2093500,2175100,2088000,2113500,2102900,2088800,2086900,2078200,2083400,2154900,2123000,2093400,2080000,2081300,2084700,2104050.000000
60000,2368100,2208000,2192000,2196300,2240800,2199200,2222200,2198000,2194400,2197100,2210000,2210800,2215400,2261800,2196100,2203100,2202800,2214700,2192100,2193500,2215820.000000
61000,2251200,2288200,2296600,2210500,2211800,2211500,2203900,2209700,2225300,2383500,2183500,2244000,2210700,2228800,2213200,2347300,2242100,2219400,2211100,2213500,2240290.000000
62000,2305600,2279100,2280000,2302700,2306100,2268800,2274400,2263200,2275800,2269300,2326700,2268600,2276900,2268600,2282700,2275900,2275000,2350100,2274600,2270300,2284720.000000
63000,2356100,2325500,2315400,2369200,2552100,2318800,2316400,2315700,2323400,2316300,2396900,2357400,2315300,2317400,2316800,2317400,2369400,2405500,2332100,2324700,2348090.000000
64000,2332200,2363400,2431700,2291900,2320800,2294300,2298400,2336700,2300600,2321000,2298100,2292300,2291600,2321500,2314200,2309900,2302900,2297800,2294500,2300900,2315735.000000
65000,2345700,2300700,2289900,2330700,2290000,2290900,2358400,2290700,2288600,2327500,2290100,2287900,2344700,2407900,2286000,2298000,2348800,2297300,2297300,2297000,2313405.000000
66000,2548700,2332000,2299000,2337000,2297600,2310800,2291000,2300400,2303300,2341400,2298600,2310500,2301200,2324500,2305400,2302900,2394900,2308200,2297600,2306600,2325580.000000
67000,3075300,2643500,2543700,2565600,2436100,2426000,2401700,2440800,2780100,2729300,3117900,3094800,3008700,2800700,2372800,2812200,2417500,2374000,2353600,2357500,2637590.000000
68000,2802700,2797600,3064800,2793600,2972500,2778200,2814900,2631200,2352200,2368700,2598800,2626200,2533200,2462800,2577100,2395100,3059200,3122500,3162000,3146300,2752980.000000
69000,2465700,2432800,2362900,2445100,2380000,2398200,2657400,3194900,3034800,2587300,2284200,2411600,2299000,2409700,2353800,2621600,2306600,2238900,2231300,2412800,2476430.000000
70000,2399100,2309000,2260400,2727700,2236500,2621400,2299400,2295000,3260000,3496400,2841300,3072500,2321800,2316600,2390400,2508700,2515600,2251700,2273100,2528500,2546255.000000
71000,2123300,2078100,2172700,2088800,2094400,2104200,2093200,2087300,2084600,2092600,2070900,2087200,2074100,2064000,2061700,2060400,2063100,2494700,2068600,2061000,2106245.000000
72000,2200000,2118100,2016500,2011400,2002900,2003700,2005400,2159900,2067500,2019400,2010200,2001500,1999600,1998800,1998100,2011000,1999000,1999700,1998300,1999500,2031025.000000
73000,2072300,1933600,1921800,1922800,1919800,1927200,1926400,1920800,2097600,1926700,1907000,1911800,2005600,1994000,1924300,1895100,1972700,1948600,2037600,1929800,1954775.000000
74000,1879800,1860300,1853200,1988800,2013400,1862000,1852000,1851100,1844300,1845900,1847500,1848100,1983400,1849400,1836900,1835700,1842600,1842000,1836200,1842100,1870735.000000
75000,1903200,1876800,1875600,2121800,2016900,1905400,1907900,1899000,1908400,1908300,1900700,2252400,2925600,2704700,2738200,2734300,2744200,1984200,2000800,1911700,2161005.000000
