1000,37400,31900,29500,26400,27200,27700,27300,26900,26300,26100,26300,27500,35800,33300,30000,26100,26200,26500,26300,27700
2000,64400,58500,61000,54500,51400,49600,53700,49400,50300,48800,54300,50000,58800,48800,49800,48600,48600,49600,48600,48500
3000,100300,98500,95000,88900,86800,84200,82800,82400,81900,82000,80900,80700,96800,92800,88500,87300,84800,83800,83300,82600
4000,126700,119500,113000,109600,113000,120000,114600,110900,108400,108100,106300,105300,104000,103800,102100,114800,114600,109900,108600,106500
5000,204500,195300,191000,175000,161700,155200,152700,156900,162700,156300,146700,154600,157000,197300,158800,154500,151000,148700,147900,145200
6000,199900,194900,188300,186500,183900,182100,194600,194600,191700,194600,190600,188300,184800,182600,182900,181000,181600,180400,180200,180400
7000,230500,223200,218200,228600,220900,217200,228700,223700,221800,211700,235000,229200,231100,226100,222500,229900,225100,220900,216400,215100
8000,255700,246800,249300,247900,253400,248200,245000,240900,239500,237500,245800,246500,243500,240300,238700,238700,235700,236900,235500,238100
9000,291200,283500,301700,306000,288300,283400,277900,276600,277700,281900,276500,276500,275500,274000,273700,272700,273800,308100,284000,279400
10000,327600,322900,323500,318600,315200,321700,317400,314900,321200,331300,319000,314600,326300,329200,322500,312900,310200,309000,309600,308800
11000,369200,367900,358700,353500,350500,348900,350300,349400,348500,347300,354600,357800,354500,353600,351400,351200,349400,350000,363600,350500
12000,406200,396400,390100,389500,389600,387900,406500,395700,388600,396500,396200,392800,399500,394100,391500,392400,390600,390800,391100,391000
13000,434100,429400,426000,430700,420600,431800,424100,421500,418000,418900,417700,433100,420000,419600,418800,419600,419200,419000,419900,419200
14000,467300,453700,446900,445400,443200,450200,451600,446800,458900,446000,447300,447900,448000,446600,547700,447200,446500,445900,445600,445200
15000,497000,476300,470500,466800,468100,465100,465900,465400,467100,465400,475800,471800,470700,469600,467900,468100,467700,467100,468800,468600
