1000,26100,21900,20200,20000,19800,19900,19700,19900,19700,20000,19700,20000,20700,19700,19700,19800,19700,19800,19600,19700
2000,63100,54800,54300,50800,50600,50100,50200,50500,51100,50400,50200,54000,50300,50400,50400,50200,50300,50100,50100,50000
3000,75000,66700,68900,63000,72200,76800,76700,76300,76100,77500,76800,76500,76200,76400,76400,83400,70500,66300,64400,63900
4000,123700,117500,108800,110300,105700,106300,110300,95000,91200,106800,89700,88100,86200,85700,86100,85900,86200,87900,89500,86900
5000,151700,142300,136500,138700,119000,114200,111300,112200,108700,110700,109500,108600,109700,108200,108300,109400,110300,109400,108600,107500
6000,172700,161700,167300,156300,142500,138700,139600,139500,135500,136000,136700,135100,139800,134700,133600,134200,134700,135800,141000,139400
7000,213300,200300,193700,152800,151000,167500,166700,164200,158100,155800,154300,156500,154100,158000,154200,153800,154100,153200,154700,157600
8000,243400,230600,218200,254200,187300,183700,262900,179700,179900,176600,176900,182900,175300,177500,175700,175200,180100,175500,177500,176600
9000,248400,240000,199700,192900,196400,191000,195400,190900,190500,191500,189600,189700,219300,211300,206000,199000,198700,198900,197700,202200
10000,391100,281000,271400,233400,228300,304900,228500,221900,222300,221700,226200,226700,220300,222500,221700,223100,223700,223700,222800,222300
11000,322600,324100,325400,260000,251200,250000,250000,245700,245400,244500,245200,248600,245400,245400,244600,245700,247100,245000,245300,246700
12000,357800,368400,325800,271300,271700,270100,267200,377700,271600,272100,321800,271300,271000,350800,274700,269600,272100,270800,342400,343000
13000,387000,367200,324000,303100,298400,297100,292900,295400,295600,294800,294300,292700,294000,295400,290600,294400,300500,374000,370800,373900
14000,418400,345500,324100,319000,320300,322500,321900,315400,318200,321000,317600,316200,317400,321500,316200,317800,377200,404400,368200,313900
15000,420100,436600,402800,343200,346200,342900,337700,339100,340400,346300,338000,342900,345700,345400,405500,429700,370300,334000,332800,321900
16000,473500,470600,451200,354100,350600,350700,369800,367400,362900,363400,357700,362300,364700,366800,429100,457800,387200,357100,357600,336700
17000,502200,489500,391200,387000,388100,386400,384100,384400,385800,384500,383900,385100,388900,427300,491400,478400,408600,358400,357000,357800
18000,526400,498700,449800,390700,390900,411100,420500,412700,408600,410700,408600,405900,404900,521200,455200,398800,397900,375800,375100,382800
19000,529400,442600,431600,516200,433000,441700,443700,443800,436100,440200,434100,433600,518500,514400,425800,425200,405700,404200,402500,403100
20000,595600,554700,460100,454100,458000,458500,455200,458500,459200,454600,456200,522500,551100,452100,447500,423700,423100,422100,423200,421900
21000,630300,654000,584500,477400,485300,488700,482200,483600,485000,482800,593800,507700,475300,457700,449600,449000,448600,448300,448700,448300
22000,671900,511000,496900,495800,497600,493300,491900,499300,501500,498400,537900,625200,565000,490200,481200,463600,463500,460500,460900,460900
23000,615400,525900,518600,518400,547100,526700,522900,523600,531600,595300,655300,550100,519600,490200,486900,486700,489000,486600,486900,497800
24000,693200,680800,667200,682000,559000,548900,546900,545000,622300,678900,539000,534400,509000,506200,506300,505400,506700,513000,535600,535200
25000,706400,573400,563200,563300,572500,576800,577900,573500,568100,722600,641900,530000,528700,537000,528600,527800,529500,527600,530900,530200
26000,777900,622300,587300,590000,585000,584000,588600,589100,681800,645300,582500,550100,550200,548200,553900,575900,568400,549100,571500,575200
27000,776700,655700,597300,617800,626800,617400,616300,616800,701800,661500,607000,575500,573100,571200,579700,570700,578500,580300,608100,605800
28000,828800,708700,734500,631700,666400,636000,636700,649700,752600,629700,605200,591100,591300,608200,601000,612400,622900,620600,620100,619600
29000,836100,753400,638300,673800,668600,659300,655800,720300,805900,666400,629500,615900,634300,614300,616100,620200,614500,614900,611700,613100
30000,843400,687900,677800,684800,684700,677400,681000,791000,848800,653900,638000,635200,645000,636400,636900,634500,636400,634800,635100,635400
31000,841900,710000,700200,700500,702200,709100,705600,866800,790900,657700,656000,654100,655200,654600,654700,655800,657800,660800,688000,659900
32000,849600,710500,703800,748100,833100,765000,728500,834300,794200,709100,678400,685900,678700,679000,676800,677100,676400,675800,676800,677100
33000,845200,767900,759300,757600,768300,758300,835000,928200,764100,761200,759700,753100,756600,755700,753300,756300,756700,753500,757600,756700
34000,961300,822300,752500,799300,778700,771500,913100,866000,743700,707300,705300,718800,717000,715200,716800,722600,720900,718700,719200,718900
35000,1029900,804300,896600,847900,796800,804300,935400,1038700,748000,747700,743400,742800,743100,741600,740500,813200,750800,778500,767500,748800
36000,990400,1020000,1192400,860100,817400,819900,1009500,811400,806700,790200,762400,759700,763900,763100,762500,763500,768700,766400,767200,766000
37000,967100,888600,836400,836100,853400,844800,998600,868900,813200,788300,792000,787700,786500,797300,792900,794400,806600,791800,841000,790300
