1000,41700,34700,31000,28600,27900,27700,29500,27400,27400,27800,27400,27400,27900,27200,27100,27100,27200,27100,27400,27100
2000,80100,70800,62700,59500,58200,56700,69600,79100,78300,75400,72600,68800,66500,66200,65800,65500,63400,66400,64900,63700
3000,94600,85700,83200,77300,75800,74500,73400,72500,71700,97300,100000,88300,84800,80700,81800,82000,79700,79000,79000,77900
4000,124900,116000,114300,107300,105500,105400,103600,103700,101400,101600,101300,100400,137300,127300,119600,117700,115500,112100,111900,109700
5000,148100,175300,195700,188700,182500,148800,144200,144600,145600,145000,141400,141800,141900,141900,153700,142200,143300,142900,140300,140900
6000,218600,234200,235700,231700,182900,181300,177700,174900,176400,225300,174600,174800,174800,176900,183300,182800,181600,181400,177400,175600
7000,210600,200400,234300,217100,217400,209300,206800,204000,207100,206200,202900,207700,201800,203700,203800,205500,203300,202400,204100,205900
8000,235600,226000,263000,253200,247900,245900,242200,237100,245000,237300,258600,248600,253200,241100,252000,244400,264400,241500,247200,237900
9000,258400,368100,294700,270100,272900,263700,265500,266000,267700,264900,266100,269100,269500,268000,272900,271500,284700,284400,301200,338700
10000,329900,323900,301500,315400,298700,297900,381300,386800,306700,307300,302300,300200,301500,299300,300800,300700,301600,346900,386300,361600
11000,314000,349200,334800,332200,329700,328000,327600,326200,332400,325800,328500,326500,321700,329000,329400,335200,399500,404800,356300,316600
12000,398200,406300,365900,362300,357200,355500,358900,355800,356500,361600,357100,357800,361200,358000,443400,440400,353300,349600,346800,329400
13000,372500,436700,424200,392100,389200,386100,384700,395300,385700,386600,392100,388300,387100,389700,484200,404700,377700,362000,358500,357800
14000,539300,486900,398200,397500,423600,421900,416600,418200,412500,422300,421100,416000,505500,449600,403400,399800,379900,378700,379800,378600
15000,427200,416500,471100,472400,457500,453200,445600,457900,446600,447800,451300,491600,516800,434200,428900,410100,410200,406800,408700,413500
16000,599300,483200,473000,469700,476700,480100,476500,478200,477200,476200,484300,588000,560000,465300,458100,435100,436900,435900,435000,434900
17000,671300,596100,505700,505200,505800,504700,505400,504600,504500,513500,590700,628900,590400,482300,467900,467000,467500,463900,463800,466500
18000,624700,543400,538900,544600,540000,537000,535600,528500,533400,628800,664100,573000,494300,495900,503000,497600,493400,507700,519900,502100
19000,632100,575100,567400,578800,565500,564400,565700,570400,567000,710300,663100,523300,520100,523200,521700,523400,534100,546800,532200,519000
20000,621400,764800,596900,597500,597200,607900,594300,594700,650600,686400,580900,563900,556600,547900,543800,543700,540800,539800,540600,544200
21000,756300,672900,605300,649000,648400,630100,626500,791900,758900,616600,609400,609800,579200,574900,573600,586800,606500,606600,600300,578100
22000,804100,663700,743600,764500,689100,658900,658100,711100,807400,672500,641700,640300,617600,609200,612200,611500,608300,623700,610500,610400
23000,759500,698900,781600,724600,684900,680500,681300,790100,680900,649700,638900,632100,630600,631600,631400,633100,636700,632800,632100,631600
24000,674200,726000,722800,710900,712200,710100,718600,818800,872200,726200,683900,667400,661600,665000,671200,657600,673500,658800,650400,652200
25000,709000,771500,740800,731200,734300,740300,733700,916800,808700,676400,677100,694800,690000,702300,684100,676900,677000,676400,676800,676000
26000,758600,790900,783500,788800,770100,830100,843600,972700,765800,709200,707500,701600,706800,705800,702900,703100,708800,710300,707400,710500
27000,789200,776100,777000,831400,819200,806800,807200,944000,790000,785400,795300,783000,779700,781100,775700,781700,779200,779800,777800,780400
28000,1013900,842800,828900,826800,833900,965100,873500,833200,811100,808200,809000,808100,807800,808600,807200,813700,812200,806800,808300,807900
29000,1105200,890500,853600,885200,877300,926900,996200,836300,793900,790200,799700,803800,829300,794800,797000,803700,801100,799400,799700,799200
30000,938700,902300,885200,885900,900000,968200,1098700,846900,824600,824100,825500,833600,835000,880700,831700,828500,836300,830000,858100,830200
31000,946200,927600,914000,910800,914400,913100,1080700,902300,853900,863800,856800,852500,850900,851000,852000,845700,862600,860900,888400,902300
32000,933000,967400,980400,969700,951200,1105700,933100,885800,888500,889100,887100,886900,912400,928700,926500,931100,927500,938100,923800,926600
33000,1070600,982700,986100,1036400,981700,1137500,976000,910100,913000,909600,916200,916800,916000,916000,917600,928700,921700,921600,923900,945700
34000,1188300,998400,998400,1024100,1002300,1210300,984000,945600,988200,980100,933700,937800,940400,936500,938600,938400,939900,942300,954300,943700
35000,1139900,1044100,1029800,1043000,1038800,1228300,1053400,1038600,1191300,1051200,1019200,993100,991700,1007800,989900,1016300,1036000,1011200,995900,989800
36000,1298800,1078200,1171100,1086800,1169200,1129600,1052800,1045800,983700,978700,977600,988100,989100,987700,991700,998900,990500,997700,1037400,999500
37000,1130700,1132200,1088200,1207100,1135700,1220900,1048000,1018900,1018700,1020200,1020400,1017800,1033600,1021200,1017400,1022700,1029800,1064000,1033000,1028000
38000,1086900,1101900,1144300,1138200,1127400,1399200,1255000,1054400,1044100,1062400,1077900,1045900,1047000,1046500,1054000,1063400,1057000,1083100,1058200,1052300
39000,1365100,1163300,1150400,1258300,1370300,1206000,1059200,1064000,1059900,1065800,1069200,1075800,1129700,1143500,1128600,1135400,1130400,1093100,1077000,1117500
40000,1244700,1195800,1224800,1304200,1404500,1182000,1151100,1103400,1105800,1106000,1104500,1106300,1108200,1125300,1121300,1153300,1125300,1119500,1108100,1142600
41000,1303500,1174500,1228600,1211900,1351300,1157900,1140600,1173000,1128300,1140600,1174800,1160700,1130100,1135700,1132400,1148600,1135000,1136800,1126700,1115900
42000,1300500,1265400,1256600,1431900,1322700,1270100,1257000,1309400,1235700,1398900,1605900,1450700,1249000,1242700,1248900,1244800,1235100,1232100,1244400,1231900
43000,1472300,1252600,1277800,1276900,1528900,1293800,1253400,1263200,1252000,1246300,1241400,1243300,1242900,1193000,1245000,1239500,1249500,1239200,1239600,1231200
44000,1265400,1260700,1266000,1237900,1230900,1228300,1258900,1271900,1263500,1249200,1225600,1222100,1225600,1241400,1244900,1228100,1228500,1224700,1236500,1246000
45000,1338000,1335100,1330400,1339700,1353500,1341400,1344700,1341500,1339800,1344600,1311600,1308800,1339700,1337400,1340300,1345500,1341000,1338900,1330900,1346900
46000,1565800,1334900,1326400,1328100,1292600,1266000,1267500,1267300,1263300,1270200,1307000,1270000,1275500,1316600,1287300,1303000,1272000,1268300,1291300,1286800
47000,1344500,1340600,1345600,1325100,1296000,1321600,1312600,1296400,1302100,1302400,1309100,1306100,1309600,1331700,1317600,1308300,1302700,1311600,1341700,1312200
48000,1362400,1371700,1376800,1362900,1339200,1362900,1327500,1360600,1352200,1327800,1331400,1332100,1330000,1378700,1353100,1343000,1343100,1374200,1338000,1337800
49000,1495000,1459600,1453100,1450700,1454000,1451000,1444700,1451900,1444700,1467000,1407400,1376600,1403800,1402300,1381700,1388600,1395500,1386000,1411900,1394100
50000,1626600,1444900,1450400,1429300,1426600,1416000,1441200,1448600,1455300,1460200,1455300,1458600,1452900,1382100,1379800,1452500,1454900,1435600,1378600,1382900
51000,1468200,1451600,1456500,1432400,1404600,1421700,1409400,1456700,1460400,1466200,1467100,1463500,1458200,1421700,1447900,1437000,1409100,1437100,1426700,1462700
52000,1460500,1479800,1487600,1488200,1444400,1439000,1444500,1479300,1443600,1446300,1458600,1474900,1444100,1466400,1455200,1478800,1447700,1440600,1471500,1468900
53000,1517200,1520000,1505800,1499800,1501200,1491200,1502400,1478300,1496800,1466700,1474800,1489700,1511600,1481400,1489900,1492700,1497300,1469300,1464400,1468600
54000,1550700,1547500,1553200,1504100,1511600,1538600,1512400,1503600,1490700,1493700,1526700,1521800,1504200,1495900,1518400,1504800,1498200,1509600,1546200,1509400
55000,1573800,1570600,1575500,1538800,1576100,1582400,1578600,1577000,1583300,1579500,1579800,1579400,1571300,1535100,1572000,1573200,1571800,1569900,1581300,1567300
56000,1605300,1613300,1610000,1554800,1549400,1564600,1557500,1548500,1555400,1547200,1549400,1550900,1558300,1568600,1583600,1596400,1560900,1550400,1557200,1551700
57000,1826700,1647100,1628900,1557700,1557100,1604800,1583200,1565600,1567700,1584000,1606800,1577800,1577200,1596800,1610200,1571700,1611700,1586000,1604800,1686700
58000,1764600,1662200,1635400,1581400,1583400,1592800,1600000,1598200,1595900,1596100,1595400,1589600,1629800,1593900,1639000,1617400,1653700,1663500,1665200,1661400
59000,1934200,1701300,1632000,1610400,1618700,1618500,1622000,1598600,1585800,1896700,1705600,1643700,1650700,1646700,1653700,1688200,1697000,1655300,1679300,1706500
60000,2034600,1743900,1683300,1653300,1643400,1698700,1654200,1651600,1653300,1659000,1704100,1716100,1723600,1692400,1664300,1658900,1698800,1722400,1755800,1695900
61000,1750600,1763500,1790100,1699800,1706700,1715600,1715200,1729600,1770600,1714600,1703100,1697900,1688200,1702300,1706900,1738600,1701500,1708800,1686800,1690800
62000,1749300,1768300,1737800,1709700,1710200,1710300,1749900,1726200,1708300,1710000,1715700,1714500,1714800,1743900,1762100,1760500,1742700,1710600,1712000,1709800
63000,1775400,1781500,1827100,1751800,1746200,1739500,1743600,1717400,1727300,1714800,1739200,1804200,1782000,1722300,1728400,1725100,1715700,1731900,1717100,1720600
64000,1850000,1850800,1847100,1862500,1850400,1850700,1842100,1848200,1841100,1834300,1808900,1790600,1843900,1842100,1840100,1841600,1839800,1842300,1838400,1831300
65000,2043200,1861700,1826800,1775600,1789600,1774700,1787600,1791100,1795900,1802100,1802200,1794800,1806400,1784700,1825400,1793700,1816700,1849100,1850500,1840500
66000,1876300,1902700,1850600,1823600,1870600,1828600,1833100,1888800,1893300,1886800,1828000,1837600,1857400,1837600,1906400,1928400,1834100,1827800,1873200,1828200
67000,1899800,2239600,1937600,1861200,1871000,1866600,1873000,1869400,1875500,1916600,1896200,1891800,1905700,1929900,1936600,1891300,1893000,1895200,1933900,1901000
68000,1936400,2061900,1952200,1882800,1866600,1861800,1921500,1882600,1936300,1888900,1943000,1946300,1948000,1893200,1881700,1923900,1965400,1964100,1913700,1967000
69000,1974900,1982100,1994500,1989100,1981700,1979100,1912200,1914500,1918900,2242500,1948500,1916600,1923200,1918700,1930200,1933600,1928700,1962600,1959100,1933300
70000,2063800,2066400,2039000,1986700,1996200,2068600,2057000,2058200,2071900,2068400,1979900,1986900,2016600,1985000,2027600,2026500,2058800,2017900,2032300,2019300
71000,2170800,2103900,1997100,1977700,1977100,1966300,1971200,1980500,1983700,1964600,2016700,1980000,1984300,2035200,1994800,2019500,1991500,1976400,1975800,1975600
72000,3236400,2507500,2418200,2618000,2458800,2372200,2527200,2548200,2391100,2106000,2109100,2100500,2325600,2308900,2184800,2115100,2093400,2090900,2096500,2089300
73000,2328700,2097300,2091600,2003300,2023700,2036800,2037500,2038900,2096000,2568100,2107800,2110400,2118800,2098600,2034100,2071800,2106300,2087400,2123700,2120500
74000,2118400,2146700,2086400,2052000,2093600,2083700,2062200,2088900,2076800,2123300,2059400,2080800,2093000,2061900,2063500,2057200,2086300,2111000,2068500,2071900
75000,2156600,2154600,2146000,2079600,2091200,2084100,2144100,2091600,2077200,2119300,2151500,2158900,2129700,2111300,2082700,2109900,2246200,2163700,2167400,2721100
76000,2177200,2168200,2115200,2110300,2132100,2131700,2113200,2119200,2107000,2103900,2091800,2108200,2154800,2154900,2148500,2128000,2129800,2111300,2109400,2169500
77000,2200700,2232800,2160700,2161500,2147100,2167300,2143500,2207900,2923600,2199000,2167900,2146700,2166600,2169900,2134800,2144300,2185700,2178000,2132200,2167000
78000,2230700,2230900,2190500,2133900,2198200,2198600,2192700,2162200,2168600,2138300,2143600,2188100,2195900,2173600,2161800,2180300,2151400,2157100,2144600,2194100
79000,2311900,2290700,2204700,2198200,2231700,2288700,2279100,2245200,2224200,2186100,2197000,2203000,2239400,2222100,2256700,2237100,2184700,2196400,2216700,2234600
80000,2292300,2321900,2236400,2233600,2234700,2270400,2233800,2219100,2237100,2265400,2230200,2220700,2235500,2240800,2220700,2236600,2289500,2226300,2226300,2217100
81000,2299600,2342300,2234300,2237500,2316700,2236200,2239200,2253700,2254000,2245700,2237900,2305300,2320200,2239700,2283600,2240400,2252500,2245500,2271600,2258000
82000,2374800,2363100,2279700,2315100,2282600,2335700,2337100,2287400,2308000,2336900,2277200,2339800,2286000,2288200,2314600,2292600,2263900,2283100,2324600,2274300
83000,2363600,2375400,2307600,2321700,2358700,2317000,2336900,2297200,2324100,2349900,2302700,2322100,2329700,2308900,2351400,2292300,2330800,2320400,2363100,2335200
84000,2423200,2391800,2409900,2349500,2416500,2426700,2386100,2366600,2359400,2382000,2377200,2325800,2333800,2329600,2323000,2375800,2387800,2394000,2319800,2333700
85000,2406100,2398100,2369700,2349700,2373400,2440600,2385500,2371800,2564500,2437600,2433800,2469900,2450500,2430500,2440700,2381900,2391400,2399700,2385300,2358100
86000,2544400,2569600,2397300,2458300,2412800,2381300,2380300,2415000,2380500,2432400,2453300,2387900,2384600,2405300,2390900,2418100,2447200,2418300,2387900,2389900
87000,2478300,2503000,2413700,2422200,2417400,2446000,2420300,2418500,2477500,2421600,2430800,2422200,2415600,2419400,2425300,2460700,2418800,2420700,2434900,2413600
88000,2543000,2545800,2495400,2556000,2510000,2450100,2470700,2853000,2842000,2478400,2470200,2543100,2571500,2554100,2553700,2487000,2442100,2480400,2505900,2530600
89000,3321000,2656900,2692600,2716400,2654700,2667800,2663900,2669400,2651500,2775100,2660800,2665700,2652000,2665400,2667400,2664900,2674600,2653900,2661800,2679600
90000,3218200,2704100,2706400,2688400,2679200,2709600,2703100,2682100,2724700,2714800,2726300,2701600,2912300,2688200,2766400,2701200,2694600,2700700,2701600,2679100
91000,2918300,2758700,2712600,2710300,2710500,2707700,2766900,2743600,2716800,2719400,2719700,2714300,2746000,2809300,2710700,2724600,2713700,2728300,2731500,2714600
92000,3094500,2750500,2744700,2803100,2792400,2766500,2789500,2758900,2803200,2783600,2945300,2771400,2744600,2767800,2771800,2778400,2799600,2762700,2830600,2743800
93000,2921700,2799900,2782900,2787400,2809000,2792400,2770400,2956400,2836300,2783700,2879100,2787900,2783600,2817600,2795900,2801200,2794500,2813100,2799600,2819100
94000,2901700,3016200,3462600,2854100,3002700,3198800,3084300,3019000,2820200,2892900,2990400,3502200,3690900,2783300,2805900,3002900,3912600,3398900,3162200,2808300
95000,3260500,2841200,2831800,2840800,2859600,2844100,2848000,2842700,2836900,2858100,2873900,2842700,2851600,2842400,2856600,2903900,2854800,2849500,2856600,2836300
96000,3580800,2939000,2876000,2979700,2876100,2877300,2864100,2876300,2874700,2896100,2878400,2877500,2888100,2869800,2883100,2909100,2908900,2879600,2879500,2887000
97000,3001800,2892600,2911600,2894700,2900200,3273300,2887400,2885600,2927400,2881700,2937800,2899500,2989700,2924600,2904300,2898300,2917200,2890700,2898300,2899500
98000,3068400,2916900,2911500,2919300,2942400,2941600,2955800,2934600,2927600,2934100,2971800,2955000,2940400,2942900,2945900,2955600,2939400,2942200,2944300,2936200
99000,3110200,2959500,2955400,2951700,3059600,2954700,2943800,2935200,2950200,3095600,2953600,2993700,2967800,2964700,2950400,3001200,2946700,2962700,2955800,2974500
100000,3363000,3006800,2974200,2962200,2979700,2998700,3020300,3014600,2984100,2996500,3215200,3028800,2988000,2980400,2991600,3165900,3007900,3000400,2991600,2981500
101000,3834800,3008500,3068500,3001900,3068600,3013200,3008400,3053600,3043200,3747200,3154300,3214600,3137200,3026500,3031200,3021300,3251400,3083800,3029200,3029300
102000,3298600,3046700,3007800,3187600,3038500,3043000,3485100,3025000,3089000,3049200,3138100,3299500,3054400,3095200,3043000,3053600,3169100,3135900,3067500,3045600
103000,3274400,3132500,3030500,3081100,3055500,3058800,3224800,3050600,3219700,3057900,3056500,3338700,3062300,3149800,3120700,3043800,3420800,3043000,3060200,3154300
104000,3214000,3748000,3212000,3106800,3095500,3362900,3102800,3083400,3189800,3099300,3118100,3086700,3210300,3194600,3105200,3274900,3101400,3107300,3209500,3094300
105000,3241900,3122100,3157600,3145100,3531600,3146000,3138500,3139000,3133300,3763600,3137700,3144600,3156700,3360200,3317200,3139200,3133700,3140000,3253900,3281800
106000,3352600,3159500,3165300,3156000,3268500,3184200,3159700,3199400,3154800,3175900,3171800,3157100,3173600,3165600,3165300,3177500,3201000,3170200,3179100,3302200
107000,3356400,3203500,3324600,3201600,3182700,3219000,3339500,3309300,3262500,3199100,3187200,3210400,3193800,3416000,3203400,3196400,3187600,3227200,3402000,3225400
108000,3563900,3230100,3239900,3238900,3245500,3295300,3320600,3335300,3267500,3250900,3420300,3344100,3238100,3231900,3257500,3514100,3490900,3488600,3300700,3232500
109000,3283000,3228900,3267500,3496600,3247300,3245300,3252000,3266200,3279700,3289900,3571100,3259400,3249400,3567400,3336700,3240400,3271600,3255400,3286600,3237700
110000,3576400,3268000,3303300,3370100,3279300,3280400,3284000,3384700,3305300,3282300,3290800,3279800,3306600,3437900,3279200,3307600,3277700,3326700,3294100,3286500
111000,3427200,3355400,3326600,3332800,3323100,3417700,3309500,3306500,3312100,3295300,3320600,3313600,3330400,3311100,3310400,3326300,3324200,3331300,3304700,3378300
112000,3475200,3337900,3365400,3391400,3359800,3361100,3388200,3402000,3413700,3415300,3344300,3363200,3367900,3359700,3342900,3359200,3336800,3397000,3379200,3347400
113000,3544300,3388500,3376900,3380200,3411400,3393800,3390300,3387200,3401600,3411700,3382400,3376900,3395500,3381400,3474800,3380100,3379500,3445100,3403800,3393000
114000,3510100,3395200,3442300,3385700,3393800,3417200,3397600,3438900,3404600,3416900,3399500,3403500,3489000,3407700,3410700,3436800,3431200,3396400,3421000,3420500
115000,3591300,3421100,3489600,3422700,3419000,3413300,3410100,3417900,3434800,3418900,3420800,3449500,3435000,3439600,3429300,3411200,3455700,3617500,3424200,3412800
116000,3633600,3459800,3452300,3454500,3489900,3504500,3599900,3430100,3470700,3519000,3477000,3476500,3459400,3455200,3477100,3463600,3468500,3484700,3459100,3463200
117000,3575400,3471500,3490800,3480500,3520300,3495400,3485600,3474300,3482400,3580600,3479500,3487700,3472800,3496300,3568100,3490700,3502300,3499500,3487500,3477100
118000,3725100,3507600,3512000,3700200,3515000,3516400,3493100,3561600,3620500,3509200,3512700,3521100,3516300,3547700,3495300,3532200,3511800,3537700,3531300,3514600
119000,3661600,3544200,3550900,3643600,3552800,3607300,3542000,3769700,3667500,3601200,3523700,3547700,3565500,3561000,3616400,3559100,3619600,3560800,3554400,3576200
120000,3630800,3570800,3851400,3594500,3582600,3562400,3734200,3571600,3593400,3589100,3573900,3572300,3607400,3565400,3578900,3594400,3826000,3639900,4003400,3707300
121000,4369700,3624700,3605400,3602500,3794000,3614000,3601900,3621800,3610100,4329700,3577800,3594500,3600000,3618100,3790200,3607700,3674800,3799600,3776200,3594800
122000,3901100,3651400,3788100,3643300,3649600,3847800,3651900,3719100,3746900,3639200,3656300,3861800,3657000,3643700,3660400,3649100,3651800,3659600,3654600,3643100
123000,3744200,3694800,3801200,3832500,3706000,3667600,3664000,3681100,3745600,3681300,3683500,3856400,3791700,3663300,3678200,3798900,3991600,3678200,3666900,3680800
124000,3850500,3693900,3683500,3678900,3801900,3678800,3683000,3692800,3777900,3798900,3689700,3677300,3691800,4093200,3675400,3689000,3729200,4036000,3711200,3692000
