1000,27100,22800,21500,20600,20300,20300,20300,20400,20200,20200,20200,21400,20500,20800,20300,20300,20200,20500,20400,20300,20930.000000
2000,65700,64000,45500,43500,42600,42300,42200,42300,41900,42000,41900,43200,43400,42200,42100,41800,41800,42500,42200,42100,44760.000000
3000,99400,90100,96900,95700,90200,86900,84500,83700,85400,85600,83400,82700,81600,67300,68500,66800,67300,69200,67000,66500,80935.000000
4000,151300,132000,113500,110000,108200,131500,124700,121800,99400,93200,90400,89900,89300,92600,90900,91100,88900,89600,89700,89400,104370.000000
5000,174900,162200,154900,149300,146200,143200,142400,126700,114900,113800,114200,113500,115100,114400,116000,113700,113800,112900,113500,112900,128425.000000
6000,209000,181000,170900,169400,166100,164600,163600,132400,141500,131300,131300,131800,130900,131300,130900,147000,150200,143800,142600,140600,150510.000000
7000,245500,245300,208300,170000,165400,163300,165700,163600,161900,161900,160700,161600,163700,160900,160900,164100,162400,163800,161400,162400,173640.000000
8000,257900,282000,239300,197400,190800,190100,192200,186000,190200,185800,186300,189500,185500,186000,194100,187200,188900,185700,186200,187900,199450.000000
9000,236800,212400,207500,207100,204700,204500,226500,220700,217500,213700,290600,271300,279800,262300,235600,246900,266900,257800,257600,225200,237270.000000
10000,244800,260100,275900,240700,239900,239800,233700,235400,319500,235600,236500,249100,233000,234000,233500,251400,235500,235700,238300,236200,245430.000000
11000,347300,338700,327100,290000,263000,262900,261600,257200,260400,260100,258900,258500,259200,262400,257100,272200,256900,262800,259500,317000,276640.000000
12000,387000,297700,289000,287900,284700,421200,349000,296700,292300,291500,288700,289000,288000,308100,295100,290600,291100,290900,373100,350500,313105.000000
13000,394900,322100,313000,311100,309800,311000,309100,307100,309400,308900,311900,310100,312600,313200,310400,310700,373500,387700,315200,313500,322760.000000
14000,441300,429700,344500,340300,337000,335000,332100,330900,330500,334500,331000,330700,336500,343000,338400,432800,385500,345500,338300,323700,353060.000000
15000,424400,374700,368600,365200,365600,364600,362200,361000,363000,471000,413300,381800,365600,365700,424200,464900,426500,366300,364300,351200,387205.000000
16000,516600,392100,385300,395400,396200,391000,384100,384000,599800,386700,384300,383700,383100,501000,490200,397700,400200,379800,365500,366100,414140.000000
17000,541400,571500,409100,407800,405000,403200,406500,405000,406800,405200,408900,408400,410200,509100,520700,420400,412900,396300,390300,387000,431285.000000
18000,577600,441600,435500,435100,435200,437100,434100,432800,434700,449200,436000,436200,512900,555100,455700,440300,421400,414900,411700,412800,450495.000000
19000,631400,473600,454500,453600,454300,460400,457200,462900,463300,460600,567200,592000,564300,466000,472900,473600,466200,442600,440500,440400,484875.000000
20000,663500,531000,476600,496200,487000,486000,479600,483500,482300,483300,486500,666600,611300,465400,460200,458900,457600,458400,459200,457200,502515.000000
21000,651800,511600,503600,507500,504700,507500,504100,504200,508300,509700,635500,641100,497300,482500,482800,483400,502900,506900,484300,480200,520495.000000
22000,578000,554400,537700,525300,529100,531300,527900,531300,631600,644200,619600,534200,522300,507500,522300,532900,528100,527900,503700,504100,544670.000000
23000,724700,576500,545100,544000,546400,564100,549800,552000,554400,697700,559600,543300,528300,525700,525900,525300,526200,525400,523600,526600,558230.000000
24000,724700,614200,560200,569400,581600,588200,573500,576300,577300,711600,581500,565300,553400,568900,578200,548600,551800,550200,550900,549900,583785.000000
25000,773400,635000,606200,605100,605500,605400,606300,607500,622500,700400,610600,583900,580700,579400,578800,577200,576100,577100,577100,576800,609250.000000
26000,779800,608200,606100,625800,632300,626400,625900,626500,780200,771300,596200,592400,593100,593100,591400,592500,594100,605700,595100,598500,631730.000000
27000,836400,680800,645800,658100,647800,652000,649600,737900,776700,657100,656400,642100,619400,618500,619200,617400,619600,624600,622300,622800,660225.000000
28000,784500,675100,667000,670200,673200,674900,684700,671800,848600,682300,650800,637900,638000,635700,635700,635700,637700,642300,664900,674500,674275.000000
29000,867200,706300,690900,688500,687800,700000,702200,800300,881200,669400,665400,664400,697100,682900,665300,662600,664600,663100,666000,667400,704630.000000
30000,929100,723600,713400,743500,741000,728100,822900,840300,736100,741300,729200,726900,726300,690700,689300,692600,691300,692200,695800,694100,737385.000000
31000,873900,744500,735700,743300,741300,755900,745100,919400,800800,734700,712300,708600,707100,707900,703300,705900,706000,706300,709100,707300,743420.000000
32000,977800,800100,750400,775600,782100,777400,898700,881400,767500,737400,734200,732700,736900,737600,736800,741200,741500,738100,739700,737500,776230.000000
33000,989800,811000,804800,798500,798200,797800,966700,897000,746300,784500,784000,787500,785100,784600,785300,783200,785600,783400,783900,750700,810395.000000
34000,921200,975500,974600,839400,824700,831800,1000400,816700,812200,810600,808800,808400,809600,768100,790500,809400,804900,776800,801500,786000,838555.000000
35000,1064800,867200,838400,968500,885900,842000,1019100,853800,795200,790500,788600,793100,801000,799200,802000,805700,801400,801300,805000,802100,846240.000000
36000,1110800,844300,868000,867100,860900,930300,967300,846400,820200,823400,819800,856800,838000,823400,825200,828900,866400,864800,837800,841000,867040.000000
37000,1069800,867200,862900,898100,895000,1000100,933900,857500,849000,847800,846100,847300,851100,852600,860700,880700,893700,893100,893400,892100,889605.000000
38000,1144900,922200,977500,920200,919700,1058100,1078100,870000,883400,869500,907300,874700,867900,868300,876900,871600,872300,870200,873800,878900,920275.000000
39000,1270800,950900,943400,941000,929600,1124900,951000,948700,942900,944600,946400,942300,944200,949300,907600,904900,907600,901200,908400,916200,958795.000000
40000,1249600,969900,960600,969200,964200,1105300,997000,985100,912300,907700,911200,907700,910700,913500,912500,918200,915800,911200,916400,966100,960210.000000
41000,1085600,987900,975400,973700,1002700,1197200,1038200,948400,934400,936500,939900,981800,971300,963200,938200,958000,964300,935600,939800,943300,980770.000000
42000,1036900,1000900,1026100,1003900,1010300,1192700,1062900,970300,959100,962200,962100,961900,964400,975000,990300,980000,967200,975900,969700,972200,997200.000000
43000,1033900,1008000,1011900,1043600,1037400,1204200,1070300,989400,979600,990200,984500,1023900,990700,986700,983900,985200,987200,986400,989700,992500,1013960.000000
44000,1336300,1054400,1049100,1170800,1217400,1143700,1068100,1015700,1001800,1002400,1057600,1007800,1007700,1010800,1018200,1007700,1011400,1007200,1009000,1028900,1061300.000000
45000,1423300,1085500,1074500,1076800,1145400,1303400,1071800,1033700,1027100,1027400,1030800,1028400,1033300,1039800,1041400,1071000,1084000,1081200,1083500,1088700,1092550.000000
